Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,655.097249579917,703.670998584686,763.108895463487,883.692580745256,1045.0136328106,1578.36733030667,2472.95725732287,3851.33015175141,5574.46810432575,4950.39949009423,5843.5337683582,7189.81869211976,7495.86527658099,7875.34536661549,7890.84028062087,5500.50364628486,3880.6852276838,4147.1981423222,4739.7943123408,4805.75371765917,4229.91064904503,5408.04535175023,7770.594223351,7133.02838048328,7283.8499076179
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3439.14442872326,3834.89815906415,4230.40590214072,4718.42112339403,5247.53834365156,6854.93618778844,9398.01324794263,11973.9596323536,13216.8434974432,14245.503536619,14930.4099928423,14804.5744507911,15994.1466501837,17267.5118919538,17563.6122454385,15075.2726347911,14535.8020210633,14315.9296431061,15282.9995232298,16675.3179361558,15163.5703327282,20111.3756952109,22552.0886560523,23651.5994852756,25088.9993757134
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,24940.0775086078,25371.9237667614,26781.6195938652,26429.1247787663,26650.2934234303,28602.4181869995,29184.7865087908,30051.8489587756,29392.3824416397,27512.9130950084,27473.100430502,27090.8376801379,28552.0242683151,27642.7419759179,29137.2175632622,30719.405417469,30616.5363157284,31875.4881749619,32642.3353203452,33640.3369861278,26178.7537607708,30367.8605757708,34957.1613279737,38231.774484278,39455.4466548546
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,25421.6229400308,26351.0760257803,27171.3084133541,27030.8969356877,27659.5379539899,29142.9002176758,30401.5076891956,31232.1313724409,30678.6265531484,29196.6178474292,29624.975385096,30073.6769305961,31035.5500568874,30294.4768305201,31726.1740873862,32137.5784729905,32285.2760366069,34282.1710357791,35227.7619063243,36116.0002025353,27204.625909518,31064.6822166194,36791.4010460964,39090.1214737976,41197.9342548477
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,14214.4836839343,13573.2339887597,13501.4708801425,14486.0269029822,15963.9493171617,17966.1657837625,19267.282615072,20908.4042548073,23299.4992780392,19465.3140745038,21819.3291098099,25032.7867743333,26438.6733230428,26989.7601148469,26451.7965647453,23734.0551143019,23800.001440631,24784.7693514607,26324.4066549559,27259.7438599327,24342.8444554718,27147.8083882286,30470.5219276023,29290.1284215098,29653.5682731534
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,45687.5217405647,46161.5758464288,45091.4894218656,45426.9345932944,46317.0284804025,47268.2721612188,48009.4917421504,49347.494619615,50330.3248622522,48625.6569231596,49254.5770084238,52677.4511190668,56712.5692656153,56310.3117458189,54299.0564613228,48034.2468880503,47428.9018907649,50184.5005767301,51993.1307818652,56599.5214364411,53436.0316999712,54954.6757895532,61677.6538492695,64171.0857359052,66941.2430367989
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,396.670730249751,394.65641001891,393.886422327628,426.74880754362,455.614016909798,480.08585075452,490.388026533289,537.955492792911,613.06204104124,679.211477428056,757.385280361508,837.336944695647,859.680536375497,958.262989798283,1094.46199702838,1224.38647668165,1649.28380858601,1811.08221668646,1965.24372731467,2129.79896954606,2248.85078828233,2482.84917843357,2716.48592780431,2551.01773827307,2593.41611680774
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1511.90500588844,1597.58740614435,1658.80230934569,1746.12725782298,1861.51256285455,2019.73839563431,2195.29485460994,2388.10025160357,2554.85788238719,2675.25945926785,2833.69544368864,3051.26983271811,3434.27815090447,3691.10431102117,3972.50647733491,4212.23578089428,4579.13228682862,4882.60692615639,5490.15881865179,6047.12401504125,6640.58437331062,7441.06913961254,8450.54902533941,9147.7775066555,9646.76984383255
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,11674.6736471764,11639.5160522054,11760.4524736133,12075.9587020649,12886.3665272467,14214.4202213572,15619.6005955511,17235.4396434785,17565.6929970592,16294.9099491834,20610.5150721363,20508.1498810382,20804.1150004694,20410.2065438568,20192.7084081797,20424.2087530019,20295.5672072046,20284.5762052461,21381.2426303209,21912.1501242857,19194.4919736739,21079.6145271791,24387.0387293761,25583.878782727,26544.8707282621
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15914.0847570681,15865.5863558585,16133.0792881949,16706.5324853774,17298.8922582212,18449.8108853234,20076.4851303968,20949.3649138456,21375.9007659025,20323.6367022712,20032.5818570838,20316.2925356846,19605.0169248071,19032.4654071373,18594.9001828335,19185.5186407924,19175.570190422,18436.8050803186,19777.0593234662,19971.1185698717,16555.3622145235,17682.7314537483,22193.2487125789,23660.4047512929,24822.5343309908
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,1276.2880341,1244.37318523431,1479.38066337175,1819.52653114699,2378.33700470129,3126.07176665248,3848.22350300163,4735.48107556066,6376.17569162063,5352.48809190697,6034.67885177216,6527.6593428786,6953.21591683101,7998.0802045456,8341.31809294883,5967.05595058777,5039.77560949445,5785.54491935194,6360.037502312,6837.77339645635,6542.85579976768,7489.71894713888,7994.64806074889,7896.75388295584,8317.63399913792
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5795.65223573862,6238.09862372757,6697.15436193606,7361.72161071026,8482.92020698503,9636.89112385763,10994.5981291041,12320.0240264282,13886.1314072566,14034.1911204499,15339.0999035972,16563.2014078209,18114.7508606708,19014.0529737698,19037.8847440186,18133.5313085883,17832.4778855815,18413.747563367,20025.9815543598,22301.5932411839,24872.3066744528,27611.1801135157,28429.4948821827,30834.1773668111,33010.3307605357
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,23098.8865077401,23015.0712632462,25006.191397109,30655.2092679024,35429.4077933344,36809.7013403619,38705.1067959147,44319.165448813,48303.397956286,44923.3400135081,44197.393671162,47760.8298776546,44874.1709182123,46964.5946777056,47995.7786961339,40893.804537772,41854.5498296444,44035.3239358548,47487.2100392561,46716.6227467964,45906.2875805246,51658.238294958,50605.7496677086,55291.4754541329,56614.5679499036
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,27788.0908832256,28796.5795804462,30282.2886450283,30934.5826454577,32063.9826949865,33177.8909458158,35258.985063203,36799.5318686343,37883.3319417819,37885.9059125602,39844.4054386496,41244.8495035213,42483.5250666788,43864.1204196838,45147.6429534057,46084.2424551717,48414.5518065681,50256.0631772784,52466.7330784599,56712.469571978,56120.0958420466,60669.2137746531,68157.8347860761,69103.0102591812,72236.9050549712
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4726.50675459616,4718.77715104739,4858.86062599362,4959.74012434605,5153.71308265363,5270.41479135312,5524.78167834986,5762.21023302938,5711.81458859709,5399.67100001919,5461.40735999001,5596.05222152289,5732.66519942347,5957.34953619006,6128.12053089077,6154.62264230369,6140.86713919469,6071.85451846453,6011.99036888587,6171.61449761423,5238.54078175696,6142.98930557031,7068.21728043145,7424.75821321022,7681.24400583113
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7543.73447178525,7851.62162856677,8153.66392623285,8849.64628939549,9244.91166156485,9466.1427445401,9909.68014440777,10225.986730898,9975.08124355363,9727.98868509362,9747.8256219459,9721.88084559988,9303.37857455225,9525.83089030578,9489.91221371385,9538.38691146009,9399.03567052789,9120.65338346029,9497.23480443418,10499.962073199,9638.89513695889,11716.3267818656,13461.2098451613,13729.892058721,14346.5188049737
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,487.424141384242,492.401499509072,546.463829658159,676.002878084282,758.695803786371,779.437777753268,809.147072506221,912.338247188342,1060.60254502099,1024.10277858112,973.244254931526,1059.41358852588,1071.5258366283,1168.92699279226,1204.39918670094,1002.41886879614,1010.5338961993,1054.97408066814,1151.7409703472,1130.82135339795,1200.19426557789,1318.65158075198,1266.42711031904,1394.17784721831,1485.38018885134
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1671.35725172854,1745.98256227696,1799.88269639499,1841.60297283874,1915.34644346381,1945.56414052296,2020.60567734722,2135.53787873721,2215.35163859542,2213.32895620809,2220.32854611489,2264.84186926384,2346.08416204547,2511.65309588333,2670.41561399187,2725.33724817144,2842.0246258376,2885.89383987721,2965.30628143664,3148.97969597838,3244.58772756805,3464.2886286745,3844.15415745816,4129.9661200142,4434.5642184028
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,56542.9569455727,59490.2452034202,63358.5658652763,67106.8028083224,71692.1589001679,77628.103522508,97781.4558996721,107395.651483891,110268.562401264,104711.712420357,104111.824244802,99049.0169927667,100213.493385287,101704.40746217,100961.576602811,104855.366822135,108747.356144305,112339.425587467,113204.82210838,115798.040775578,106976.546239632,112765.08167306,121613.939983629,132604.439086216,142855.374713782
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,54176.377748356,59092.8759704678,58862.6907986795,61829.3240116897,64790.2739198061,67771.4683756141,73590.1160702265,77894.0646213844,77556.4350038925,73336.9875151545,72188.6928304585,70911.542318725,69149.0500342682,71519.6398526584,71988.5383627822,75943.4642970922,80412.1834895484,85680.9701917217,85978.2177227009,90984.4576708318,85146.4006275696,92319.6714861219,105142.409967183,114372.049927372,124252.835702586
